1	1
2	3
3	7
4	12
5	19
6	27
7	36
8	47
9	59
10	73
11	88
12	104
13	122
14	141
15	162
16	184
17	208
18	233
19	259
20	287
21	316
22	347
23	379
24	412
25	447
26	483
27	521
28	560
29	601
30	643
31	686
32	731
33	777
34	825
35	874
36	924
37	976
38	1029
39	1084
40	1140
41	1197
42	1256
43	1316
44	1378
45	1441
46	1506
47	1572
48	1639
49	1708
50	1778
51	1850
52	1923
53	1997
54	2073
55	2150
56	2229
57	2309
58	2391
59	2474
60	2558
61	2644
62	2731
63	2820
64	2910
65	3001
66	3094
67	3188
68	3284
69	3381
70	3479
71	3579
72	3680
73	3783
74	3887
75	3993
76	4100
77	4208
78	4318
79	4429
80	4542
81	4656
82	4771
83	4888
84	5006
85	5126
86	5247
87	5370
88	5494
89	5619
90	5746
91	5874
92	6004
93	6135
94	6267
95	6401
96	6536
97	6673
98	6811
99	6951
100	7092
101	7234
102	7378
103	7523
104	7670
105	7818
106	7967
107	8118
108	8270
109	8424
110	8579
111	8735
112	8893
113	9052
114	9213
115	9375
116	9539
117	9704
118	9870
119	10038
120	10207
121	10378
122	10550
123	10723
124	10898
125	11074
126	11252
127	11431
128	11612
129	11794
130	11977
131	12162
132	12348
133	12536
134	12725
135	12915
136	13107
137	13300
138	13495
139	13691
140	13888
141	14087
142	14287
143	14489
144	14692
145	14897
146	15103
147	15310
148	15519
149	15729
150	15941
151	16154
152	16368
153	16584
154	16801
155	17020
156	17240
157	17462
158	17685
159	17909
160	18135
161	18362
162	18591
163	18821
164	19052
165	19285
166	19519
167	19755
168	19992
169	20231
170	20471
171	20712
172	20955
173	21199
174	21445
175	21692
176	21940
177	22190
178	22441
179	22694
180	22948
181	23203
182	23460
183	23718
184	23978
185	24239
186	24502
187	24766
188	25031
189	25298
190	25566
191	25836
192	26107
193	26379
194	26653
195	26928
196	27205
197	27483
198	27763
199	28044
200	28326
201	28610
202	28895
203	29182
204	29470
205	29759
206	30050
207	30342
208	30636
209	30931
210	31227
211	31525
212	31824
213	32125
214	32427
215	32731
216	33036
217	33342
218	33650
219	33959
220	34270
221	34582
222	34895
223	35210
224	35526
225	35844
226	36163
227	36484
228	36806
229	37129
230	37454
231	37780
232	38108
233	38437
234	38767
235	39099
236	39432
237	39767
